Subject,Course Number,Course Name,Course Code,Workload %
"ACC","764","Corporate Financial Reporting","ACC764","27"
"ACC","891","Accounting Research in Capital Markets","ACC891","N/A"
"ACC","897","Doctoral Seminar in Theory of Capital Markets","ACC897","N/A"
"ACC","899","Doctoral Seminar in Contemporary Accounting Issues","ACC899","N/A"
"ACC","900","Special Research for Doctoral Applicants and Candidates","ACC900","N/A"
"ACC","990","Dissertation - Precandidacy","ACC990","N/A"
"ACC","995","Dissertation - Candidacy","ACC995","N/A"
"ACC","998","Doc Prog Intern","ACC998","N/A"
"ADABRD","101","Study Abroad for Artists and Designers","ADABRD101","N/A"
"ADABRD","320","Burren","ADABRD320","N/A"
"ADABRD","321","DIS Copenhagen","ADABRD321","N/A"
"ADABRD","322","SACI","ADABRD322","N/A"
"ADABRD","330","U Arts London","ADABRD330","N/A"
"ADABRD","332","Stamps Summer in Seoul, South Korea","ADABRD332","N/A"
"ADABRD","334","Loughborough","ADABRD334","N/A"
"ADABRD","335","Srishti","ADABRD335","N/A"
"ADABRD","339","Kyoto-Seika","ADABRD339","N/A"
"ADABRD","347","Taipei","ADABRD347","N/A"
"ADABRD","349","San Jose","ADABRD349","N/A"
"ADABRD","352","Spain, Altea","ADABRD352","N/A"
"ADABRD","354","Ravensburg","ADABRD354","N/A"
"ADABRD","355","Siena","ADABRD355","N/A"
"ADABRD","356","Indigenous Art Intensive in Kelowna, Canada","ADABRD356","N/A"
"ADABRD","384","Paris College of Art","ADABRD384","N/A"
"ADABRD","388","Global Internship in Singapore","ADABRD388","N/A"
"AERO","101","Heritage and Values of the United States Air Force I","AERO101","N/A"
"AERO","102","Heritage and Values of the United States Air Force II","AERO102","N/A"
"AERO","201","Team and Leadership Fundamentals I","AERO201","N/A"
"AERO","202","Team and Leadership Fundamentals II","AERO202","N/A"
"AERO","310","Leading People and Effective Communication I","AERO310","N/A"
"AERO","311","Leading People and Effective Communication II","AERO311","N/A"
"AERO","410","National Security Affairs/Preparation for Active Duty I","AERO410","N/A"
"AERO","411","National Security Affairs/Preparation for Active Duty II","AERO411","N/A"
"AEROSP","200","Introduction to the Aerospace Enterprise","AEROSP200","1"
"AEROSP","201","Introduction to Aerospace Engineering","AEROSP201","55"
"AEROSP","205","Introduction to Aerospace Engineering Systems","AEROSP205","46"
"AEROSP","215","Introduction to Solid Mechanics and Aerospace Structures","AEROSP215","20"
"AEROSP","225","Introduction to Gas Dynamics","AEROSP225","20"
"AEROSP","285","Aerospace Engineering Seminar","AEROSP285","N/A"
"AEROSP","288","Fundamentals of Product Development","AEROSP288","92"
"AEROSP","290","Directed Study","AEROSP290","N/A"
"AEROSP","305","Aerospace Engineering Laboratory I","AEROSP305","63"
"AEROSP","315","Aircraft/Spacecraft Structures","AEROSP315","33"
"AEROSP","325","Aerodynamics","AEROSP325","54"
"AEROSP","335","Aircraft and Spacecraft Propulsion","AEROSP335","23"
"AEROSP","341","Aircraft Dynamics","AEROSP341","31"
"AEROSP","343","Spacecraft Dynamics","AEROSP343","23"
"AEROSP","350","Fundamentals of Aerospace Computing","AEROSP350","58"
"AEROSP","388","Systems Engineering Processes and Digital Tools (MBSE)","AEROSP388","81"
"AEROSP","390","Directed Study","AEROSP390","N/A"
"AEROSP","405","Aerospace Laboratory II","AEROSP405","83"
"AEROSP","423","Computational Methods for Aerospace Engineering","AEROSP423","N/A"
"AEROSP","450","Flight Software Systems","AEROSP450","N/A"
"AEROSP","470","Control of Aerospace Vehicles","AEROSP470","40"
"AEROSP","481","Aircraft Design","AEROSP481","83"
"AEROSP","483","Aerospace System Design","AEROSP483","17"
"AEROSP","488","Product Development Leadership","AEROSP488","N/A"
"AEROSP","490","Directed Study","AEROSP490","25"
"AEROSP","495","Special Topics in Aerospace Engineering","AEROSP495","65"
"AEROSP","510","Finite Elem Method I","AEROSP510","15"
"AEROSP","513","Solid&Struct Mech I","AEROSP513","42"
"AEROSP","516","Mech Composites","AEROSP516","21"
"AEROSP","518","Thry Elastic Stab I","AEROSP518","83"
"AEROSP","520","Compressible Flow I","AEROSP520","22"
"AEROSP","521","Experimental Methods in Fluid Mechanics","AEROSP521","N/A"
"AEROSP","522","Viscous Flow","AEROSP522","N/A"
"AEROSP","523","Computer Fluid Dynamics I","AEROSP523","73"
"AEROSP","525","Intr Turbulent Flow","AEROSP525","48"
"AEROSP","526","Hypersonic Aerothermodynamics","AEROSP526","10"
"AEROSP","530","Gas-Turbine Propulsn","AEROSP530","N/A"
"AEROSP","532","Molecular Gas Dyn","AEROSP532","11"
"AEROSP","533","Combustion Processes","AEROSP533","0"
"AEROSP","535","Rocket Propulsion","AEROSP535","30"
"AEROSP","536","Electric Propulsion","AEROSP536","53"
"AEROSP","540","Intermediate Dynamics","AEROSP540","41"
"AEROSP","543","Structural Dynamics","AEROSP543","37"
"AEROSP","544","Introduction to Aeroelasticity","AEROSP544","N/A"
"AEROSP","545","Aeromechanics of Rotary Wing Vehicles","AEROSP545","18"
"AEROSP","548","Astrodynamics","AEROSP548","25"
"AEROSP","550","Linear Systems Theory","AEROSP550","43"
"AEROSP","551","Nonlinear Systems and Control","AEROSP551","35"
"AEROSP","552","Aerospace Information Systems","AEROSP552","21"
"AEROSP","567","Inference, Estimation, and Learning","AEROSP567","96"
"AEROSP","568","Computational Methods for Engineered Systems Design","AEROSP568","N/A"
"AEROSP","573","Spacecraft Attitude Dynamics and Control","AEROSP573","N/A"
"AEROSP","574","Introduction to Space Physics","AEROSP574","18"
"AEROSP","575","Flight and Trajectory Optimization","AEROSP575","41"
"AEROSP","577","Data-driven and Reduced Complexity Modeling","AEROSP577","N/A"
"AEROSP","581","Space Policy and Management","AEROSP581","1"
"AEROSP","582","Spacecraft Technology","AEROSP582","63"
"AEROSP","583","Management of Space Systems Design","AEROSP583","12"
"AEROSP","584","Navigation and Guidance of Aerospace Vehicles","AEROSP584","11"
"AEROSP","585","Aerospace Engineering Seminar","AEROSP585","1"
"AEROSP","586","Air Transportation Systems","AEROSP586","N/A"
"AEROSP","588","Multidisciplinary Design Optimization","AEROSP588","64"
"AEROSP","590","Directed Study","AEROSP590","N/A"
"AEROSP","597","Space Plsm Phy","AEROSP597","N/A"
"AEROSP","623","Comput Fluid Dyn II","AEROSP623","N/A"
"AEROSP","638","Aerodynamic Design","AEROSP638","N/A"
"AEROSP","714","Spec Top Struc Mech","AEROSP714","N/A"
"AEROSP","729","Spec Top Gasdynamic","AEROSP729","N/A"
"AEROSP","740","Special Topics in Flight Dynamics and Control Systems","AEROSP740","44"
"AEROSP","990","Diss-Precand","AEROSP990","0"
"AEROSP","995","Diss-Cand","AEROSP995","N/A"
"AES","100","Introduction to Applied Exercise Science","AES100","19"
"AES","110","Bio and Behav Bases Hum Movement","AES110","27"
"AES","212","Student Athlete Health and Welfare","AES212","32"
"AES","218","Emergency Response","AES218","2"
"AES","220","Applied Human Physiology","AES220","32"
"AES","221","Applied Human Physiology Laboratory","AES221","5"
"AES","230","Human Musculoskeletal Anatomy","AES230","42"
"AES","231","Human Musculoskeletal Anatomy Lab","AES231","67"
"AES","240","Principles of Physical Activity and Wellness","AES240","2"
"AES","241","Exercise, Nutrition and Weight Control","AES241","16"
"AES","242","Essentials of Exercise Physiology","AES242","12"
"AES","243","Essentials in Exercise Physiology Lab","AES243","8"
"AES","280","Research Opport","AES280","N/A"
"AES","290","Field Experience in Applied Exercise Science","AES290","N/A"
"AES","313","Special Topics","AES313","5"
"AES","315","Exercise Prescription and Testing","AES315","6"
"AES","330","Biomechanics of Sport and Fitness Lab","AES330","92"
"AES","331","Biomechanics of Sports and Fitness","AES331","53"
"AES","332","Principles of Motor Behavior","AES332","15"
"AES","333","Legal and Ethical Issues in Sport","AES333","3"
"AES","334","Exercise Psychology","AES334","20"
"AES","336","Physical Activity and Healthy Aging","AES336","N/A"
"AES","402","Teaching Experience for AES Students","AES402","N/A"
"AES","403","Internship in Applied Exercise Science","AES403","20"
"AES","407","Exercise Assessment","AES407","N/A"
"AES","408","Exercise Pathophysiology and Prescription","AES408","5"
"AES","413","Special Topics in Applied Exercise Science","AES413","3"
"AES","416","Environmental and Policy Approaches to Increasing Physical Activity","AES416","N/A"
"AES","420","Obesity: Weight Management and Exercise","AES420","N/A"
"AES","425","Disability and Movement","AES425","11"
"AES","426","Strength and Conditioning","AES426","10"
"AES","434","Managerial Ethics in the Sport and Fitness Industries","AES434","N/A"
"AES","437","Psychological Aspects of Sport and Exercise","AES437","10"
"AES","446","The Role of Social Factors in Shaping Physical Activity Behavior","AES446","27"
"AES","451","Physical Activity Across the Lifespan","AES451","41"
"AES","460","Design and Evaluation of Physical Activity Intervention","AES460","0"
"AES","470","Independent Study","AES470","N/A"
"AES","493","Clinical Exercise Testing and Electrocardiography","AES493","0"
"ALA","101","A User's Guide to the Liberal Arts","ALA101","8"
"ALA","102","Michigan Community Scholars Program:  The Student in the University","ALA102","5"
"ALA","103","Michigan Community Scholars Program: Academic Decision Making","ALA103","7"
"ALA","104","Introduction to Research","ALA104","13"
"ALA","105","Digital Research:  Critical Concepts and Strategies","ALA105","17"
"ALA","106","Health Sciences Scholars Program:  Perspectives on Health and Health Care","ALA106","2"
"ALA","107","Women in Science and Engineering Residence Program Seminar","ALA107","28"
"ALA","108","STEM Success","ALA108","64"
"ALA","109","Perspectives on Health Care","ALA109","3"
"ALA","110","Financially Savvy From the Start","ALA110","N/A"
"ALA","111","Kessler First-Year Seminar","ALA111","N/A"
"ALA","114","Critical Approaches to Research and Communication","ALA114","N/A"
"ALA","115","The Financially Savvy Student","ALA115","7"
"ALA","118","Introduction to Programming with Python","ALA118","38"
"ALA","119","Introduction to Information Studies","ALA119","58"
"ALA","122","Intergroup Dialogues","ALA122","7"
"ALA","123","Pop Culture and Social Media: An Introduction to Intergroup Relations","ALA123","N/A"
"ALA","125","Positioning Yourself for a Successful Internship","ALA125","8"
"ALA","151","First-Year Seminar in the Social Sciences","ALA151","0"
"ALA","154","First-Year Seminar in Interdisciplinary Studies","ALA154","33"
"ALA","160","Humanities Topics in ALA","ALA160","N/A"
"ALA","170","Applied Liberal Arts Topics","ALA170","0"
"ALA","171","Making the Most of Michigan","ALA171","18"
"ALA","174","BLI Leadership Lab","ALA174","61"
"ALA","175","BLI Leadership Lab","ALA175","33"
"ALA","175","Foundations in Leadership","ALA175","4"
"ALA","180","Enhancing Study Habits","ALA180","N/A"
"ALA","206","Health Career Mentorship, Experiences, and Reflections","ALA206","2"
"ALA","209","International Perspectives on Health and Health Care Topics","ALA209","N/A"
"ALA","210","Defining Critical Global Issues","ALA210","20"
"ALA","211","Addressing Critical Global Issues","ALA211","25"
"ALA","212","Practicum: Facilitating Global Engagement","ALA212","N/A"
"ALA","215","Financially Savvy for the Future","ALA215","N/A"
"ALA","217","Fake News, Lies, and Misinformation: How to Sort Fact from Fiction","ALA217","N/A"
"ALA","220","Foundations of Intergroup Relations","ALA220","2"
"ALA","221","Introduction to Social Justice and Intergroup Relations Education","ALA221","N/A"
"ALA","223","Entrepreneurial Creativity","ALA223","19"
"ALA","225","Undergraduate Internship","ALA225","3"
