Subject,Course Number,Course Name,Course Code,Workload %,Advisory Prerequisites,Enforced Prerequisites
"EECS","525","Advanced Solid State Microwave Circuits","EECS525","N/A","EECS 411, EECS 421 or EECS 521.","N/A"
"EECS","526","Plasmonics","EECS526","11","EECS 230, PHYSICS 240, graduate standing or permissions from the instructor","N/A"
"EECS","528","M-Elec Proc Tech","EECS528","25","EECS 421,423","N/A"
"EECS","529","Semi Lasers & Leds","EECS529","20","EECS 429","N/A"
"EECS","530","Elecmag Thr I","EECS530","77","PHYSICS 438 or EECS 330.","N/A"
"EECS","531","Antenna Thry&Des","EECS531","24","EECS 330","N/A"
"EECS","532","Microwave Remote Sensing","EECS532","21","EECS 330 and graduate standing.","N/A"
"EECS","533","Micro Meas Lab","EECS533","N/A","EECS 320 and graduate standing.","N/A"
"EECS","534","Analysis of Electric Power Distribution Systems and Loads","EECS534","40","EECS 463 or Graduate Standing","EECS 463; (C or better, No OP/F) or Graduate Standing"
"EECS","535","Power System Dynamics and Control","EECS535","N/A","EECS 463 or permission of instructor or Graduate Instructor","N/A"
"EECS","536","Power System Markets and Optimization","EECS536","58","N/A","EECS 463; (C or better, No OP/F) or Graduate Standing"
"EECS","537","Class Optics","EECS537","27","EECS 330 or 334.","N/A"
"EECS","538","Opt Wave Crystals","EECS538","N/A","EECS 434 and Graduate standing.","N/A"
"EECS","539","Lasers","EECS539","N/A","EECS 537 or 538 and Graduate standing.","N/A"
"EECS","540","App Qnt Mech I","EECS540","50","Permission of instructor.","N/A"
"EECS","541","App Qnt Mch II","EECS541","N/A","APPPHYS 540.","N/A"
"EECS","542","Advanced Topics in Computer Vision","EECS542","18","EECS 442 or EECS 504 or permission of instructor","EECS 442 or 504; (C or better) or Graduate Standing"
"EECS","544","Analysis of Societal Networks","EECS544","N/A","EECS 301 or MATH 425 or STATS 425, or graduate standing and C or better","N/A"
"EECS","545","Machine Learning (CSE)","EECS545","72","Coursework in probability, linear algebra, and programming","N/A"
"EECS","546","Ultrafast Optics","EECS546","N/A","APPPHYS 537.","N/A"
"EECS","547","Incentives and Strategic Behavior in Computational Systems","EECS547","N/A","N/A","N/A"
"EECS","548","Information Visualization","EECS548","57","SI 582, 618 and 622 are strongly encouraged. EECS 493 or graduate standing and (C or better) or equivalent.","{[Prerequisite: SI 506; (C- or better) or SI 506 Waiver] and [Co-requisite: SI 507; (C- or better) or SI Waiver]} or SI 508; (C- or better); or Graduate Standing"
"EECS","549","Information Retrieval","EECS549","58","N/A","SI 507 or Waiver or Graduate Standing"
"EECS","550","Information Theory","EECS550","33","EECS 501","N/A"
"EECS","551","Matrix Methods for Signal Processing, Data Analysis and Machine Learning","EECS551","58","EECS 351 and (C or better) or graduate standing","N/A"
"EECS","552","Fiber Optics:  Internet to Biomedical Applications","EECS552","N/A","Any ONE of EECS 334, 429, 434, 529, 537, 538, 539, or permissions of instructor","N/A"
"EECS","553","Machine Learn (ECE)","EECS553","46","Graduate coursework in probability and linear algebra","N/A"
"EECS","554","Introduction to Digital Communication and Coding","EECS554","9","EECS 216 and EECS 301","N/A"
"EECS","555","Digital Commun Thry","EECS555","N/A","EECS 501 and 554.","N/A"
"EECS","556","Image Processing","EECS556","60","EECS 501, Corequisite: (EECS 453 or EECS 551)","N/A"
"EECS","557","Communication Networks","EECS557","N/A","Graduate standing, preceded by EECS 431 or accompanied by EECS 501","N/A"
"EECS","558","Stochastic Control","EECS558","68","EECS 501 and 560.","N/A"
"EECS","559","Optimization Methods in Signal Processing and Machine Learning","EECS559","28","EECS 505 or 551","N/A"
"EECS","560","Linear Systems Theory","EECS560","43","Graduate standing.","N/A"
"EECS","561","Design of Digital Control Systems","EECS561","9","EECS 460 or ME 461","N/A"
"EECS","562","Nl Sys&Con","EECS562","35","Graduate standing.","N/A"
"EECS","563","Hybrid Systems Analysis and Control","EECS563","N/A","(EECS 562) or (EECS 560 and permission of instructor)","N/A"
"EECS","564","Estimation, Filtering, and Detection","EECS564","28","EECS 501","N/A"
"EECS","565","Linear Feedback Control Systems","EECS565","29","EECS 460 or AEROSP 348 or MECHENG 461 and AEROSP 550 (EECS 560)","N/A"
"EECS","566","Discrete Event Systems","EECS566","5","Graduate Standing","N/A"
"EECS","567","Robotic Kinematics and Dynamics","EECS567","15","Graduate standing or permission of instructor","N/A"
"EECS","568","Mobile Robotics:  Methods and Algorithms","EECS568","35","Graduate standing or permission of instructor","N/A"
"EECS","569","Production Systems Engineering","EECS569","N/A","N/A","N/A"
"EECS","570","Parallel Computer Architecture","EECS570","40","EECS 470","N/A"
